Request ID,Name,Location,Request,Category of Aid,Medical Condition,Number of Dependents,Income Level,Housing Status,Urgency Level,Date of Request,Priority Label,Contact Info,Current Living Conditions
1,Rami Kassem,Beirut,I urgently need assistance with rent payments as I am at risk of eviction due to job loss.,Financial Aid,No significant medical issues,3,333,At risk of eviction due to unpaid rent.,High,10/1/2024,Urgent,701234567,Living in a small apartment with no furniture and limited food.
2,Leila Haddad,Tripoli,I need immediate medical care for my chronic asthma that flares up frequently.,Medical Assistance,Chronic asthma,0,500,"Stable, but struggling to afford treatment.",High,10/2/2024,Urgent,701234568,"Living in a one-bedroom apartment, often experiences breathing issues."
3,Samir Abou Ali,Sidon,"I am requesting food assistance as my benefits have run out, and I can't buy groceries.",Food Assistance,"Pregnant, with nutritional needs",1,800,Currently living with family temporarily.,High,10/3/2024,Urgent,701234569,Staying in a cramped home with limited access to nutritious food.
4,Nour El Khalil,Baalbek,I need help with utility bills; I can’t afford to keep the lights on this month.,Utility Assistance,"Diabetic, requiring refrigeration for medication.",2,200,Facing disconnection of services.,Medium,10/4/2024,Urgent,701234570,Living in a house without electricity for days.
5,Fatima Jaber,Zahle,I am seeking shelter after fleeing an abusive relationship; I need a safe place to stay.,Housing Assistance,PTSD from past trauma,2,400,"Homeless, seeking emergency shelter.",Medium,10/5/2024,Urgent,701234571,Living in a temporary shelter with inadequate security.
6,Omar Nassar,Tyre,I require assistance for my children’s education as I cannot afford school supplies.,Educational Aid,No significant medical issues,3,666,Housing is unstable due to financial issues.,High,10/6/2024,Urgent,701234572,"Living in a rented room, struggling to provide for my children’s needs."
7,Layla Mansour,Byblos,I am in need of mental health support due to severe anxiety and depression.,Mental Health Support,Anxiety and depression,0,166,Stable but feeling isolated.,High,10/7/2024,Urgent,701234573,Living alone in a small apartment with minimal social interaction.
8,Youssef Salameh,Tripoli,I need food assistance as I have lost my job and can no longer afford meals for my family.,Food Assistance,No significant medical issues,4,266,Currently living in a relative's home.,Medium,10/8/2024,Urgent,701234574,Staying with relatives but struggling to provide meals for my family.
9,Hana Fares,Beirut,I require urgent transportation to attend medical appointments for my chronic illness.,Medical Assistance,"Chronic illness, needs regular check-ups",1,533,Stable but lacks personal transportation.,High,10/9/2024,Urgent,701234575,"Using public transport, which is unreliable and stressful."
10,Tarek Rifi,Sidon,I need financial aid to cover my mother’s medical treatment as we can’t afford it.,Medical Assistance,Heart condition,2,466,"Currently unemployed, struggling financially.",Medium,10/10/2024,Urgent,701234576,Living in a modest home with increasing medical bills.
11,Mira Zahr,Jounieh,I need help with medication costs as my chronic condition requires expensive prescriptions.,Medical Assistance,Chronic illness requiring medication,0,300,Stable but unable to cover medical expenses.,High,10/11/2024,Urgent,701234577,"Living in a small apartment, often skipping doses due to costs."
